,name,desc,range,minRange,maxRange
$P1,Time,Time,1048576,0,1048575
$P2,Event_length,Event_length,4096,0,4095
$P3,Y89Di,CD45_Y89,8192,0,8191
$P4,Pd102Di,Pd102Di,4096,0,4095
$P5,Rh103Di,Rh103Di,4096,0,4095
$P6,Pd104Di,Pd104Di,4096,0,4095
$P7,Pd105Di,Pd105Di,4096,0,4095
$P8,Pd106Di,Pd106Di,4096,0,4095
$P9,Pd108Di,Pd108Di,4096,0,4095
$P10,Pd110Di,Pd110Di,4096,0,4095
$P11,Sn120Di,Sn120,8192,0,8191
$P12,I127Di,I127,8192,0,8191
$P13,Xe131Di,Xe131,4096,0,4095
$P14,Cs133Di,Cs133,4096,0,4095
$P15,Ba138Di,Ba138,16384,0,16383
$P16,La139Di,La139,8192,0,8191
$P17,Ce140Di,Ce140,16384,0,16383
$P18,Pr141Di,CD3_Pr141,65536,0,65535
$P19,Nd142Di,CD19_Nd142,8192,0,8191
$P20,Nd143Di,CD117_ckit_Nd143,4096,0,4095
$P21,Nd144Di,CD15_SSEA1_Nd144,32768,0,32767
$P22,Nd145Di,CD163_Nd145,32768,0,32767
$P23,Nd146Di,CD64_Nd146,4096,0,4095
$P24,Sm147Di,CD182_Sm147,4096,0,4095
$P25,Nd148Di,CD16_Nd148,4096,0,4095
$P26,Sm149Di,CD66ace_Sm149,32768,0,32767
$P27,Nd150Di,Nd150,65536,0,65535
$P28,Eu151Di,CD107a_LAMP1_Eu151,8192,0,8191
$P29,Sm152Di,CD66b_Sm152,16384,0,16383
$P30,Eu153Di,CD192_CCR2_Eu153,8192,0,8191
$P31,Sm154Di,TIGIT_Sm154,4096,0,4095
$P32,Gd155Di,CD279_PD1_Gd155,4096,0,4095
$P33,Gd156Di,CD274_PDL1_Gd156,4096,0,4095
$P34,Gd158Di,CD32_Gd158,4096,0,4095
$P35,Tb159Di,ALDH_Tb159,4096,0,4095
$P36,Gd160Di,CD23_Gd160,4096,0,4095
$P37,Dy161Di,Gata6_Dy161,4096,0,4095
$P38,Dy162Di,CD8a_Dy162,32768,0,32767
$P39,Dy163Di,CD33_Dy163,4096,0,4095
$P40,Dy164Di,ArginaseI_Dy164,32768,0,32767
$P41,Ho165Di,CD45RO_Ho165,65536,0,65535
$P42,Er166Di,CD34_Er166,8192,0,8191
$P43,Er167Di,CD45RA_Er167,4096,0,4095
$P44,Er168Di,CD206_MMR_Er168,4096,0,4095
$P45,Tm169Di,CD25_IL2R_Tm169,16384,0,16383
$P46,Er170Di,CD152_CTLA4_Er170,4096,0,4095
$P47,Yb171Di,CD68_Yb171,4096,0,4095
$P48,Yb172Di,CD273_PDL2_Yb172,4096,0,4095
$P49,Yb173Di,HLA_DR_Yb173,4096,0,4095
$P50,Yb174Di,CD62L_L_Selectin_Yb174,4096,0,4095
$P51,Lu175Di,CD14_Lu175,65536,0,65535
$P52,Yb176Di,CD4_Yb176,4096,0,4095
$P53,Os190Di,Os190,4096,0,4095
$P54,Ir191Di,Ir191,65536,0,65535
$P55,Ir193Di,Ir193,65536,0,65535
$P56,Pt194Di,Pt194,65536,0,65535
$P57,Pt195Di,Pt195,65536,0,65535
$P58,Pt196Di,Pt196,65536,0,65535
$P59,Pt198Di,Pt198,16384,0,16383
$P60,Pb208Di,Pb208,65536,0,65535
$P61,Bi209Di,CD11b_Mac1_Bi209,131072,0,131071
